"user.assessmentUid","runId","user.grade","b-3-4-4","b-3-4-11","b-3-4-17","a-3-4-19","a-3-4-12","b-3-4-10","b-3-4-20","b-5-6-9","a-5-6-15","a-3-4-13","b-3-4-18","b-3-4-8","b-5-6-1","b-3-4-9","b-3-4-1","b-3-4-14","b-3-4-7","b-3-4-13","b-3-4-2","b-3-4-6","b-3-4-19","a-5-6-3","a-5-6-16","b-3-4-5","b-5-6-17","b-3-4-15","b-3-4-16","b-3-4-12","b-3-4-3","b-5-6-12","a-3-4-17","a-5-6-17","a-3-4-14","b-5-6-11","b-5-6-16","a-5-6-5","a-3-4-4","a-5-6-20","a-5-6-4","a-3-4-2","a-3-4-9","b-5-6-4","a-5-6-12","b-5-6-20","b-5-6-8","b-5-6-13","a-5-6-11","b-5-6-10","a-5-6-14","a-3-4-15","a-3-4-6","a-3-4-7","b-5-6-18","a-5-6-8","a-3-4-5","a-3-4-8","b-5-6-6","b-5-6-3","a-3-4-16","a-3-4-11","b-5-6-2","a-5-6-9","a-5-6-6","a-5-6-1","a-5-6-13","b-5-6-5","b-5-6-15","b-5-6-14","a-5-6-18","a-3-4-3","a-5-6-19","a-3-4-1","a-5-6-7","a-5-6-10","a-3-4-10","a-3-4-20","b-5-6-7","a-3-4-18","a-5-6-2","b-5-6-19","b-5-6-19m"
"pkUL56g0HrcvoW2Ha2a85miBMc42","cI9wTFfdabnxCX8EmEtf","2","1","0","0",".",".","0","1",".",".","0","0","0",".","0","1","1","1","0","1","0","1","1",".","1",".","1","0","1","1",".",".",".",".","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","0",".",".",".","1",".",".",".",".","1",".",".",".",".","1",".","0",".","1",".",".",".",".","."
"Cv9LIYaoSNWCPqBbwbeaYqqC9Z02","lEposIrO0epZ86nJ7G1Z","7","1","0","1",".","0","1","1",".",".",".","0","0",".","0","0","1","1","1","1","1","0",".",".","1",".","1","0","0","1",".",".","1",".",".",".",".",".",".",".",".","1",".",".",".",".",".",".",".",".",".",".",".",".","1","0",".",".","0",".",".",".","1",".",".",".",".","1",".",".",".",".",".",".",".",".",".",".",".",".","0","."
"CJQ2LO1yrrXApS9bRsgGnMibx9y1","FlOp8HtjZNDyhkogbYWy","3","1","1","1",".",".","1","1",".",".",".","1","1","1","1","1","0","1","1","1","1","1",".",".","1",".","1","0","1","1",".",".","0","1",".",".",".",".","1",".",".",".",".",".",".","0",".",".",".",".","1",".","1",".",".",".",".","0",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","0",".",".",".",".",".",".",".","."
"2AwLryPTnJZRzChvLHZaMmUOMTo1","PhUUSrgSXNDQyyURJ5DG","8","1","1","1",".",".","1","1",".",".",".","1","1",".","1","1","1","0","1","1","1","0",".","1","0",".","1","0","0","0","1",".","1",".","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".","1","1",".",".",".",".","1",".","0",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","1",".",".","."
"rkbYWKj2H1ZEceMjDZ7kLPHWBno1","57puD3DRUqdj0T5dfvDZ","6","0","1","1",".",".","1","1",".",".","1","0","0",".","1","1","1","1","1","1","1","0",".","1","1",".","1","1","1","1",".","1","0","1",".",".",".",".",".","1",".",".",".",".",".","0",".",".",".",".",".",".",".",".",".",".",".","1",".",".",".","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"P7bjDklRUGeEFvxrPZdqGhcFHWx1","tk9jM6ujFS7zdXPMdyW8","1","1","0","0",".",".","1","0","1",".",".","0","0","0","0","1","0","1","0","0","0","0",".",".","1",".","0","1","0","0",".","1",".","0",".",".",".",".",".",".",".",".",".",".",".",".","0","0",".","0",".",".",".",".",".",".",".",".",".",".",".",".",".","0",".",".",".",".",".",".",".",".",".",".",".","0",".",".",".",".",".","."
"GLwGpAUojgO29X9mCyROHrrBWeX2","PcmhLfpPmAQvj982R6nj","2","0","0","0",".",".","0","1",".",".",".","0","1",".","0","1","0","0","0","0","0","0",".",".","0",".","0","1","0","1",".",".",".",".",".",".",".",".","0",".","0",".",".",".",".","1",".",".",".",".",".",".","1",".",".",".",".",".",".",".",".",".",".",".","1","0",".",".","0",".",".",".",".",".",".",".","1",".",".",".","1","."
"pFhRkPFBz1Ucq2TEoc1P6isZFbH3","uxlGKgjv8sLfR2UWB4gr","3","0","0","1",".",".","1","1",".",".","0","1","0",".","0","1","0","1","0","0","1","1",".",".","1",".","1","0","0","0","1","1",".",".",".",".",".",".","1",".",".",".","0",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","1",".",".",".",".",".","0",".",".",".","1",".",".",".",".",".",".","0",".","."
"VlZJcglGd7hfCOVb2ZPU96XJ1tP2","pl9BoQVLS1xYlwRhAQRy","2","0","0","1",".",".","0","1",".",".",".","0","0",".","0","1","1","1","0","0","0","0",".",".","0","0","1","0","0","1",".",".","1","0",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","0",".",".",".",".",".",".","1",".",".",".",".",".","1",".",".",".",".","0",".",".",".",".",".",".","0","0",".","."
"2ePGwPuSubcoqGcRcpndH5KYuVh2","ElpuwkyPPJB3BxcpSv8q","3","1","1","0",".",".","1","1",".",".",".","0","1",".","1","1","1","1","1","1","0","0","1","0","0",".","0","0","0","0",".",".",".",".","0",".",".","1",".",".",".",".",".",".",".","0","1",".",".",".","0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","0",".",".",".",".",".",".",".",".",".",".",".",".","0",".",".","."
